Protein	Total GO	Leaf node	Internal node	Last node in tree
B4ELA5	5	4	1	5
P07465	3	1	2	3
Q88YN8	3	3	0	3
P20235	3	2	1	3
A5FEA5	3	1	2	3
Q9P8P4	6	2	4	6
P41132	4	0	4	4
A3QGU0	6	2	4	6
Q9R0W1	66	27	39	53
P03421	3	3	0	3
Q9FGY9	10	2	8	10
B1A4P8	3	1	2	3
A0A7M6UNN1	2	1	1	2
Q9TXI7	31	14	17	27
Q9NWW9	12	5	7	11
B0BBT2	4	1	3	4
Q99569	23	4	19	20
P69011	6	1	5	6
P16477	2	0	2	2
P39457	4	2	2	4
M3APK4	2	0	2	2
P06200	8	6	2	7
P17243	4	3	1	4
A8ZW25	2	0	2	2
B4MXR8	15	5	10	15
Q02325	4	2	2	4
Q57D38	4	3	1	4
Q54D93	5	2	3	5
Q6C8W4	3	0	3	3
Q7TXK3	3	0	3	3
Q6NMA7	6	1	5	6
P83367	2	0	2	2
Q0T7R6	4	2	2	4
Q0VBU9	8	3	5	8
Q7TYY6	6	1	5	6
A3KNW0	14	6	8	14
O22899	9	3	6	8
Q70EW5	6	1	5	6
Q5U2P6	4	1	3	3
Q6UXB8	4	2	2	4
Q9FNN9	7	2	5	5
Q54FN2	3	1	2	3
Q6GQ68	4	1	3	4
A1CI53	4	2	2	4
P40935	13	5	8	12
P06592	8	3	5	8
Q58711	4	2	2	3
Q5B8A1	4	0	4	3
P85026	2	1	1	2
P29990	35	18	17	35
Q7VC78	5	3	2	5
P62195	31	9	22	28
Q13523	14	2	12	11
P10164	1	0	1	1
P40534	2	1	1	2
Q9LX49	4	1	3	4
A6MM35	9	4	5	9
Q92LF7	4	3	1	4
A2YQ93	4	1	3	4
P40249	5	0	5	5
B2XWR0	5	2	3	5
A1WPU0	5	1	4	5
Q6FR44	9	4	5	9
Q2EY14	3	0	3	3
A6WHR9	4	1	3	4
Q6Y8A2	3	2	1	3
Q68S10	8	3	5	8
Q3BAP6	4	2	2	4
Q6L386	4	3	1	4
Q3E6T0	5	0	5	5
D3Z4S3	1	1	0	1
Q1DNY1	3	0	3	3
Q804W2	3	0	3	3
A0A067XNI2	3	2	1	3
P63361	4	2	2	4
Q62035	41	16	25	38
Q09G66	11	5	6	11
O67560	4	1	3	4
Q4FFP4	9	4	5	9
Q7VR68	5	1	4	5
Q5VRH9	4	0	4	4
O94329	9	4	5	9
Q2JSX7	5	4	1	5
O78455	4	2	2	4
P0CQ03	3	1	2	3
Q9I315	1	1	0	1
A0K3Q2	3	1	2	3
O42335	1	0	1	1
A7M950	5	2	3	5
Q0W2D6	4	1	3	4
Q5QKR7	1	0	1	1
A4QL45	7	3	4	7
Q6I628	6	3	3	6
A3PAX5	4	3	1	4
Q5AK66	12	7	5	12
O14111	12	6	6	12
P55967	3	2	1	3
P40454	13	4	9	12
P28215	1	0	1	1
B0U0Y2	5	1	4	5
Q92N67	3	1	2	3
P9WG11	4	0	4	4
Q49780	5	1	4	5
P28061	5	1	4	4
A2C6G3	4	2	2	4
Q9BBT2	5	4	1	5
